ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
1,Dubai,31-35,Prefer not to say,Less than 200 Dhs,Education,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Not important at all,Always,Not at all,"Yes, always",Very much,Not at all,Slightly,Often,Slightly important,Never,Very much,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,Add WhatsApp virtual consultations.,Longer return window for unopened items.
2,Ras Al-Khaimah,41-50,Prefer not to say,Less than 200 Dhs,Entrepreneur,In Eids and seasons,A decrease in disposable income,Not at all,Rarely,Not at all,"Yes, always",Moderately,Always,Slightly important,Rarely,Very important,Never,Extremely important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Fast checkout and loyalty rewards.,Add WhatsApp virtual consultations.,More sample packs with purchases.
3,Sharjah,Under 21,Prefer not to say,Less than 200 Dhs,Entrepreneur,Weekly,"A change in employment status (e.g., from unemployed to employed)",Neutral,Always,Slightly important,Neutral,Neutral,Very much,Not important at all,Sometimes,Very much,Rarely,Very much,Never,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Helpful staff and personalized advice.,Extend loyalty tiers with birthday perks.,Price match guarantee would help.
4,Sharjah,36–40,Female,Less than 200 Dhs,Senior & Managerial positions,Every 6 months,"A change in employment status (e.g., from unemployed to employed)",Not important at all,Rarely,Neutral,"Yes, sometimes",Not at all,Rarely,Very important,Always,Not important at all,Sometimes,Not important at all,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Price match guarantee would help.
5,Ras Al-Khaimah,41-50,Female,Less than 200 Dhs,Unemployed,Yearly,No significant change in income,Extremely important,Often,Completely,"Yes, sometimes",Not important at all,Not at all,Neutral,Sometimes,Moderately,Always,Slightly,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Convenient location and parking.,Refill options and eco-friendly packaging.,More Arabic/local niche brands.
6,Ajman,Over 50,Male,Less than 200 Dhs,Health,Every 6 months,A decrease in disposable income,Very important,Sometimes,Moderately,"Yes, sometimes",Very important,Always,Slightly important,Sometimes,Slightly important,Rarely,Moderately,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
7,Fujairah,36–40,Female,400–800 Dhs,Law,Weekly,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Always,Not important at all,"Yes, always",Extremely important,Slightly,Moderately,Always,Extremely important,Never,Neutral,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Exclusive releases and tester availability.,Extend loyalty tiers with birthday perks.,Longer return window for unopened items.
8,Ras Al-Khaimah,31-35,Female,200-400 Dhs,Education,Monthly,A decrease in disposable income,Moderately,Never,Not important at all,"Yes, always",Not at all,Rarely,Not at all,Always,Moderately,Always,Slightly,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,More sample packs with purchases.
9,Dubai,41-50,Male,400–800 Dhs,Entrepreneur,Every 3 months,A decrease in disposable income,Slightly,Never,Neutral,"Yes, sometimes",Neutral,Very much,Completely,Never,Moderately,Never,Not important at all,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Helpful staff and personalized advice.,Travel-size discovery sets.,More Arabic/local niche brands.
10,Sharjah,21-25,Prefer not to say,Less than 200 Dhs,Retired,In Eids and seasons,No significant change in income,Slightly,Sometimes,Very important,Neutral,Moderately,Slightly,Very much,Always,Very important,Always,Not important at all,Rarely,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,More Arabic/local niche brands.
