RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
1,Abu Dhabi,26-30,Male,400–800 Dhs,Entrepreneur,Every 6 months,A change in employment status,Somewhat important,Sometimes,Moderately,"No, never",Rarely,Never,Completely,Never,Neutral,Always,Not important at all,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Exclusive releases and tester availability.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
2,Dubai,31-35,Male,800 Dhs and above,Education,Every 6 months,A change in employment status,Somewhat important,Always,Moderately,"No, not often",Sometimes,Often,Very much,Often,Very important,Sometimes,Very important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,1,Authentic brands and easy returns.,Travel-size discovery sets.,Offer student and family bundles.
3,Abu Dhabi,Over 50,Female,400–800 Dhs,Senior & Managerial positions,Every 6 months,A sudden increase in income,Not important at all,Always,Not at all,"No, not often",Often,Never,Not at all,Sometimes,Neutral,Often,Extremely important,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
4,Ajman,36–40,Male,200-400 Dhs,Engineering,Every 3 months,A change in employment status,Not important at all,Always,Moderately,"Yes, always",Always,Always,Completely,Always,Not important at all,Often,Somewhat important,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Convenient location and parking.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
5,Abu Dhabi,21-25,Female,400–800 Dhs,Engineering,In Eids and seasons,A change in employment status,Extremely important,Sometimes,Slightly,"Yes, sometimes",Always,Rarely,Not at all,Often,Neutral,Always,Not important at all,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Product variety and staff knowledge.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
6,Sharjah,21-25,Female,400–800 Dhs,Education,Every 6 months,A sudden increase in income,Not important at all,Rarely,Very much,Neutral,Rarely,Rarely,Moderately,Never,Somewhat important,Always,Extremely important,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Convenient location and parking.,Arabic oud blends with lighter sillage.,Improve stock updates online.
7,Sharjah,31-35,Male,800 Dhs and above,Unemployed,Monthly,No significant change in income,Somewhat important,Rarely,Very much,Neutral,Never,Sometimes,Slightly,Sometimes,Extremely important,Always,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Longer return window for unopened items.
8,Umm Al Quwain,31-35,Male,200-400 Dhs,Unemployed,Yearly,No significant change in income,Somewhat important,Rarely,Moderately,"Yes, sometimes",Rarely,Rarely,Slightly,Sometimes,Somewhat important,Always,Extremely important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
9,Dubai,36–40,Male,200-400 Dhs,Engineering,Every 3 months,No significant change in income,Somewhat important,Often,Completely,"Yes, sometimes",Sometimes,Always,Slightly,Often,Extremely important,Always,Somewhat important,Never,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,4,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
10,Dubai,26-30,Female,400–800 Dhs,Engineering,Every 3 months,A sudden increase in income,Very important,Sometimes,Moderately,"Yes, always",Always,Rarely,Slightly,Always,Very important,Never,Not important at all,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Product variety and staff knowledge.,Workshops on layering scents.,Longer return window for unopened items.
