Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q23_Influencer Purchase Likelihood,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q22_Reaction To New Launches,Q20_Shopping Style Persona Anchor
Ajman,Over 50,Prefer not to say,Less than 200 Dhs,Entrepreneur,Yearly,No significant change in income,Extremely important,Often,Very important,Often,Completely,"Yes, always",Very important,Very much,Slightly important,Slightly important,2,Not important at all,Never,I rarely pay attention to new launches.,I ... ( Ascent Beautifiers )
Ras Al-Khaimah,26-30,Prefer not to say,800 Dhs and above,Law,In Eids and seasons,A decrease in disposable income,Very much,Often,Moderately,Rarely,Very important,Neutral,Slightly important,Slightly important,Completely,Completely,5,Very important,Sometimes,I wait for reviews before making a purchase.,I ... ( Obligati )
Abu Dhabi,21-25,Female,800 Dhs and above,Retired,In Eids and seasons,No significant change in income,Very much,Often,Slightly important,Rarely,Slightly,"No, not often",Slightly important,Not at all,Very much,Very important,4,Very important,Always,I get excited and want to try them immediately.,I ... ( Dependables )
Ajman,Over 50,Female,Less than 200 Dhs,Law,Monthly,A decrease in disposable income,Slightly,Sometimes,Slightly,Rarely,Extremely important,"Yes, sometimes",Not important at all,Not important at all,Completely,Extremely important,5,Extremely important,Always,I wait for reviews before making a purchase.,I ... ( Aspirational Splurgers )
Ajman,21-25,Male,400–800 Dhs,Banking and Finance,Every 3 months,No significant change in income,Neutral,Sometimes,Neutral,Sometimes,Completely,"Yes, always",Slightly,Not at all,Extremely important,Extremely important,5,Extremely important,Always,I get excited and want to try them immediately.,I ... ( Aspirational Splurgers )
Dubai,21-25,Female,200-400 Dhs,Engineering,Monthly,A decrease in disposable income,Moderately,Rarely,Extremely important,Always,Moderately,Neutral,Very important,Neutral,Moderately,Slightly important,2,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Fujairah,26-30,Prefer not to say,200-400 Dhs,Customers Service and Sales,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Completely,Always,Slightly,Sometimes,Slightly important,"No, not often",Slightly important,Slightly important,Not at all,Not at all,1,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Dubai,31-35,Male,800 Dhs and above,Customers Service and Sales,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Moderately,Sometimes,Completely,"Yes, always",Very much,Very much,Slightly,Slightly important,2,Slightly important,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Ascent Beautifiers )
Sharjah,36–40,Prefer not to say,800 Dhs and above,Engineering,In Eids and seasons,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Slightly important,Sometimes,Slightly important,"No, not often",Slightly,Slightly,Not important at all,Not important at all,1,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ajman,Under 21,Female,Less than 200 Dhs,Engineering,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Completely,Always,Neutral,Sometimes,Not important at all,"No, never",Neutral,Slightly,Not at all,Not at all,1,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Fujairah,Under 21,Female,800 Dhs and above,Entrepreneur,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Completely,Always,Slightly important,Rarely,Slightly,"No, never",Slightly important,Slightly important,Not at all,Not important at all,1,Slightly important,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Umm Al Quwain,26-30,Female,200-400 Dhs,Self-employed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Slightly,Sometimes,Slightly,"No, not often",Slightly,Slightly,Not at all,Not important at all,1,Slightly,Rarely,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ras Al-Khaimah,Under 21,Male,800 Dhs and above,Law,Weekly,No significant change in income,Extremely important,Always,Neutral,Sometimes,Moderately,Neutral,Slightly,Slightly,Moderately,Moderately,3,Moderately,Rarely,I wait for reviews before making a purchase.,I ... ( Sprezzatura )
Ras Al-Khaimah,36–40,Male,800 Dhs and above,Health,Yearly,A decrease in disposable income,Extremely important,Always,Slightly,Rarely,Slightly,"No, not often",Slightly,Slightly,Not at all,Not at all,1,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Ras Al-Khaimah,Under 21,Prefer not to say,200-400 Dhs,Retired,Every 3 months,No significant change in income,Neutral,Sometimes,Slightly important,Rarely,Extremely important,"Yes, always",Completely,Completely,Not important at all,Not at all,1,Neutral,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Ajman,26-30,Prefer not to say,200-400 Dhs,Self-employed,Every 3 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Neutral,Sometimes,Not at all,"No, never",Slightly,Slightly,Not important at all,Not at all,1,Neutral,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Dubai,Under 21,Prefer not to say,Less than 200 Dhs,Health,Weekly,No significant change in income,Extremely important,Always,Slightly important,Sometimes,Moderately,Neutral,Slightly important,Slightly,Neutral,Neutral,4,Slightly important,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Sprezzatura )
Ajman,31-35,Male,Less than 200 Dhs,Marketing / Media,In Eids and seasons,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Slightly important,Rarely,Neutral,"Yes, sometimes",Slightly important,Slightly important,Very much,Moderately,3,Slightly,Rarely,I only buy if the product is aligned with my preferences and budget.,I ... ( Sprezzatura )
Dubai,36–40,Female,800 Dhs and above,Engineering,Every 6 months,A decrease in disposable income,Extremely important,Always,Slightly,Rarely,Not important at all,"No, not often",Slightly,Slightly,Not important at all,Slightly important,1,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Umm Al Quwain,21-25,Prefer not to say,800 Dhs and above,Marketing / Media,Every 6 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Neutral,Rarely,Not important at all,"No, never",Slightly,Slightly,Not at all,Not important at all,1,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Sharjah,26-30,Prefer not to say,Less than 200 Dhs,Health,Every 3 months,A decrease in disposable income,Very important,Often,Moderately,Sometimes,Very much,Neutral,Slightly important,Slightly,Completely,Extremely important,5,Neutral,Often,I wait for reviews before making a purchase.,I ... ( Obligati )
Ajman,Under 21,Male,Less than 200 Dhs,Banking and Finance,In Eids and seasons,A decrease in disposable income,Slightly important,Sometimes,Slightly,Sometimes,Extremely important,"Yes, always",Completely,Completely,Not important at all,Not important at all,1,Moderately,Sometimes,I wait for reviews before making a purchase.,I ... ( Refined Connoisseurs )
Abu Dhabi,Under 21,Prefer not to say,800 Dhs and above,Banking and Finance,Yearly,No significant change in income,Completely,Always,Moderately,Sometimes,Slightly important,"No, never",Slightly important,Slightly,Slightly important,Not at all,2,Slightly,Sometimes,I wait for reviews before making a purchase.,I ... ( Value Hunters )
Ajman,Over 50,Male,Less than 200 Dhs,Customers Service and Sales,Every 3 months,A decrease in disposable income,Moderately,Rarely,Completely,Always,Neutral,Neutral,Very much,Moderately,Slightly important,Slightly,2,Neutral,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Dubai,Over 50,Prefer not to say,400–800 Dhs,Senior & Managerial positions,In Eids and seasons,No significant change in income,Very important,Always,Slightly important,Rarely,Moderately,"No, not often",Not at all,Not important at all,Very important,Moderately,4,Very important,Often,I get excited and want to try them immediately.,I ... ( Dependables )
Fujairah,31-35,Male,800 Dhs and above,Unemployed,Yearly,A decrease in disposable income,Extremely important,Always,Neutral,Sometimes,Not at all,"No, not often",Slightly,Slightly important,Not important at all,Not important at all,2,Slightly,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
Abu Dhabi,Over 50,Female,400–800 Dhs,Education,In Eids and seasons,"A sudden increase in income (e.g., a raise, bonus, or new job)",Moderately,Sometimes,Completely,Always,Very important,Neutral,Moderately,Moderately,Slightly important,Slightly,3,Moderately,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Seamless Shoppers )
Sharjah,Under 21,Prefer not to say,200-400 Dhs,Banking and Finance,Every 3 months,A decrease in disposable income,Neutral,Rarely,Not important at all,Never,Slightly,"No, not often",Extremely important,Very much,Not at all,Not at all,1,Not at all,Never,I rarely pay attention to new launches.,I ... ( Exotica Seekers )
Sharjah,Over 50,Male,200-400 Dhs,General Emoloyee,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Always,Moderately,Rarely,Not at all,"No, not often",Slightly,Slightly,Not important at all,Slightly important,1,Slightly important,Sometimes,I only buy if the product is aligned with my preferences and budget.,I ... ( Value Hunters )
