ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
1,Abu Dhabi,21-25,Prefer not to say,200-400 Dhs,Education,In Eids and seasons,No significant change in income,Extremely important,Always,Slightly important,"No, not often",Slightly important,Sometimes,Extremely important,Never,Completely,Always,Very important,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Improve website speed and filters.
2,Sharjah,Under 21,Prefer not to say,800 Dhs and above,Law,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very much,Rarely,Not important at all,"No, not often",Moderately,Very much,Extremely important,Sometimes,Slightly,Rarely,Very important,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Fast checkout and loyalty rewards.,Offer student and family bundles.,Price match guarantee would help.
3,Fujairah,41-50,Prefer not to say,200-400 Dhs,Retired,Yearly,No significant change in income,Slightly,Often,Moderately,Neutral,Very important,Moderately,Slightly,Rarely,Neutral,Never,Moderately,Often,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,3,Helpful staff and personalized advice.,Refill options and eco-friendly packaging.,More Arabic/local niche brands.
4,Ras Al-Khaimah,41-50,Female,800 Dhs and above,General Emoloyee,Weekly,No significant change in income,Moderately,Rarely,Completely,"No, not often",Not at all,Always,Very important,Never,Completely,Always,Not at all,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Helpful staff and personalized advice.,Refill options and eco-friendly packaging.,Improve website speed and filters.
5,Abu Dhabi,31-35,Prefer not to say,200-400 Dhs,Entrepreneur,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly,Often,Slightly important,"No, not often",Very much,Often,Neutral,Sometimes,Very important,Often,Not important at all,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,3,Exclusive releases and tester availability.,Travel-size discovery sets.,More sample packs with purchases.
6,Fujairah,26-30,Male,800 Dhs and above,Education,Monthly,A decrease in disposable income,Very important,Rarely,Not important at all,"Yes, always",Very important,Sometimes,Very important,Never,Completely,Rarely,Moderately,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,5,Authentic brands and easy returns.,Offer student and family bundles.,Improve website speed and filters.
7,Fujairah,Over 50,Male,Less than 200 Dhs,Entrepreneur,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Not important at all,Sometimes,Very important,"No, not often",Very important,Never,Completely,Often,Very important,Never,Moderately,Never,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Convenient location and parking.,Offer student and family bundles.,More sample packs with purchases.
8,Abu Dhabi,31-35,Male,200-400 Dhs,General Emoloyee,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Moderately,"Yes, sometimes",Not important at all,Slightly,Moderately,Often,Completely,Always,Not important at all,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Convenient location and parking.,Add WhatsApp virtual consultations.,More Arabic/local niche brands.
9,Fujairah,36–40,Male,Less than 200 Dhs,General Emoloyee,Weekly,"A change in employment status (e.g., from unemployed to employed)",Neutral,Sometimes,Slightly important,"Yes, always",Very important,Very much,Neutral,Never,Neutral,Sometimes,Completely,Rarely,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Exclusive releases and tester availability.,Add WhatsApp virtual consultations.,More Arabic/local niche brands.
10,Fujairah,41-50,Female,200-400 Dhs,General Emoloyee,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Neutral,Rarely,Slightly,"No, never",Neutral,Never,Extremely important,Often,Not important at all,Never,Slightly,Never,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,1,Authentic brands and easy returns.,Travel-size discovery sets.,Improve website speed and filters.
11,Fujairah,31-35,Prefer not to say,400–800 Dhs,General Emoloyee,In Eids and seasons,No significant change in income,Very much,Often,Neutral,Neutral,Slightly,Always,Not at all,Never,Slightly,Sometimes,Moderately,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Helpful staff and personalized advice.,Refill options and eco-friendly packaging.,More Arabic/local niche brands.
12,Abu Dhabi,Under 21,Male,400–800 Dhs,Entrepreneur,In Eids and seasons,No significant change in income,Slightly important,Always,Slightly important,"No, not often",Very much,Never,Neutral,Often,Moderately,Often,Slightly important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Offer student and family bundles.,Price match guarantee would help.
13,Sharjah,31-35,Female,200-400 Dhs,Senior & Managerial positions,Yearly,No significant change in income,Not important at all,Often,Extremely important,Neutral,Not at all,Never,Completely,Always,Very important,Often,Moderately,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,Extend loyalty tiers with birthday perks.,More Arabic/local niche brands.
14,Fujairah,36–40,Prefer not to say,200-400 Dhs,General Emoloyee,Every 3 months,A decrease in disposable income,Slightly,Often,Moderately,Neutral,Slightly,Slightly,Moderately,Always,Very important,Never,Very much,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,5,Exclusive releases and tester availability.,Travel-size discovery sets.,More Arabic/local niche brands.
