ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
1,Fujairah,31-35,Prefer not to say,800 Dhs and above,Customers Service and Sales,Monthly,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Never,Slightly important,"Yes, sometimes",Neutral,Not at all,Very important,Sometimes,Very much,Rarely,Neutral,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Offer student and family bundles.,Improve website speed and filters.
2,Dubai,31-35,Male,Less than 200 Dhs,Senior & Managerial positions,Monthly,No significant change in income,Neutral,Often,Neutral,Neutral,Not at all,Moderately,Slightly,Never,Slightly important,Sometimes,Not at all,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Fast checkout and loyalty rewards.,Offer student and family bundles.,More Arabic/local niche brands.
3,Dubai,41-50,Prefer not to say,200-400 Dhs,Customers Service and Sales,Monthly,No significant change in income,Not important at all,Rarely,Completely,Neutral,Not important at all,Sometimes,Very much,Sometimes,Not at all,Always,Very much,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Convenient location and parking.,Extend loyalty tiers with birthday perks.,More Arabic/local niche brands.
4,Dubai,36–40,Male,400–800 Dhs,Education,Monthly,No significant change in income,Not at all,Never,Very important,"Yes, sometimes",Extremely important,Never,Slightly,Sometimes,Moderately,Sometimes,Extremely important,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Authentic brands and easy returns.,Add WhatsApp virtual consultations.,More Arabic/local niche brands.
5,Ras Al-Khaimah,36–40,Male,200-400 Dhs,Marketing / Media,Weekly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Moderately,Sometimes,Neutral,"Yes, sometimes",Extremely important,Moderately,Not at all,Often,Slightly,Rarely,Extremely important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Improve website speed and filters.
6,Ajman,Under 21,Male,200-400 Dhs,Senior & Managerial positions,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very much,Often,Neutral,"No, never",Very important,Completely,Slightly important,Often,Very much,Rarely,Neutral,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,5,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,Improve website speed and filters.
7,Umm Al Quwain,Over 50,Female,Less than 200 Dhs,Senior & Managerial positions,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Not at all,Often,Not at all,Neutral,Very important,Always,Very important,Often,Slightly important,Always,Neutral,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
8,Umm Al Quwain,36–40,Prefer not to say,800 Dhs and above,Marketing / Media,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Completely,Rarely,Completely,"Yes, sometimes",Very important,Slightly,Extremely important,Sometimes,Very much,Sometimes,Extremely important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Authentic brands and easy returns.,Travel-size discovery sets.,More sample packs with purchases.
9,Fujairah,36–40,Female,800 Dhs and above,Banking and Finance,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Always,Very much,"No, not often",Slightly,Never,Completely,Rarely,Very much,Sometimes,Very much,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,5,Fast checkout and loyalty rewards.,Offer student and family bundles.,Price match guarantee would help.
10,Sharjah,21-25,Female,200-400 Dhs,Unemployed,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Not at all,Never,Completely,"Yes, sometimes",Not important at all,Moderately,Extremely important,Never,Slightly important,Never,Extremely important,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Convenient location and parking.,Offer student and family bundles.,More sample packs with purchases.
