ID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly Disposable Income for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Store Decision Factor,Q25_Requested Products/Services,Q26_Additional Feedback
1,Umm Al Quwain,Over 50,Female,400–800 Dhs,Marketing / Media,Weekly,"A change in employment status (e.g., from unemployed to employed)",Extremely important,Rarely,Completely,"Yes, sometimes",Very much,Never,Neutral,Never,Completely,Rarely,Moderately,Never,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,Price match guarantee would help.
2,Dubai,41-50,Male,800 Dhs and above,Engineering,Weekly,A decrease in disposable income,Neutral,Sometimes,Very much,"No, never",Extremely important,Never,Completely,Often,Slightly important,Rarely,Slightly important,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Fast checkout and loyalty rewards.,Extend loyalty tiers with birthday perks.,More Arabic/local niche brands.
3,Umm Al Quwain,Under 21,Male,Less than 200 Dhs,Banking and Finance,Yearly,No significant change in income,Not at all,Sometimes,Extremely important,"No, not often",Not at all,Rarely,Moderately,Sometimes,Slightly,Rarely,Slightly important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,1,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,More sample packs with purchases.
4,Sharjah,Over 50,Female,Less than 200 Dhs,Education,Weekly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Extremely important,Sometimes,Very important,"Yes, sometimes",Slightly,Always,Extremely important,Often,Moderately,Rarely,Very much,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,1,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Price match guarantee would help.
5,Sharjah,31-35,Female,Less than 200 Dhs,Senior & Managerial positions,In Eids and seasons,No significant change in income,Neutral,Never,Very much,Neutral,Not important at all,Slightly,Completely,Rarely,Completely,Often,Very much,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,5,Authentic brands and easy returns.,Travel-size discovery sets.,Price match guarantee would help.
6,Ras Al-Khaimah,21-25,Female,Less than 200 Dhs,Self-employed,Every 6 months,A decrease in disposable income,Extremely important,Never,Not important at all,"No, not often",Completely,Sometimes,Very much,Always,Extremely important,Always,Not important at all,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Convenient location and parking.,Offer student and family bundles.,Price match guarantee would help.
7,Ajman,31-35,Prefer not to say,Less than 200 Dhs,Unemployed,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very much,Rarely,Slightly,"No, not often",Not important at all,Slightly,Not important at all,Never,Neutral,Rarely,Not important at all,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,More sample packs with purchases.
8,Umm Al Quwain,26-30,Male,400–800 Dhs,Unemployed,Every 3 months,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Rarely,Neutral,Neutral,Not at all,Very much,Not at all,Always,Not important at all,Often,Neutral,Never,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Extend loyalty tiers with birthday perks.,More sample packs with purchases.
9,Fujairah,Under 21,Female,800 Dhs and above,Marketing / Media,Yearly,No significant change in income,Extremely important,Rarely,Neutral,"No, never",Not at all,Completely,Extremely important,Never,Slightly,Always,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,4,Authentic brands and easy returns.,Extend loyalty tiers with birthday perks.,Improve website speed and filters.
10,Abu Dhabi,26-30,Female,200-400 Dhs,Banking and Finance,Monthly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Very much,Rarely,Moderately,"No, not often",Extremely important,Very much,Neutral,Rarely,Not at all,Rarely,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,5,Helpful staff and personalized advice.,Add WhatsApp virtual consultations.,Longer return window for unopened items.
11,Sharjah,36–40,Female,800 Dhs and above,Health,Weekly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Not at all,Often,Extremely important,"Yes, always",Extremely important,Always,Slightly,Sometimes,Slightly important,Rarely,Not at all,Never,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,4,Fast checkout and loyalty rewards.,Offer student and family bundles.,Price match guarantee would help.
12,Dubai,21-25,Prefer not to say,800 Dhs and above,Self-employed,In Eids and seasons,A decrease in disposable income,Moderately,Sometimes,Not at all,"No, not often",Completely,Rarely,Very much,Often,Very much,Rarely,Slightly important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Extend loyalty tiers with birthday perks.,Improve website speed and filters.
13,Dubai,26-30,Female,200-400 Dhs,Banking and Finance,Weekly,"A change in employment status (e.g., from unemployed to employed)",Completely,Always,Completely,"No, never",Slightly important,Moderately,Completely,Always,Extremely important,Sometimes,Neutral,Always,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,1,Exclusive releases and tester availability.,Offer student and family bundles.,Longer return window for unopened items.
14,Dubai,41-50,Female,400–800 Dhs,Marketing / Media,Weekly,A decrease in disposable income,Not at all,Sometimes,Not at all,"No, not often",Not at all,Rarely,Moderately,Often,Slightly important,Never,Moderately,Often,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,2,Convenient location and parking.,Offer student and family bundles.,More Arabic/local niche brands.
15,Ras Al-Khaimah,36–40,Male,800 Dhs and above,Health,Monthly,A decrease in disposable income,Completely,Rarely,Slightly important,"Yes, always",Not at all,Not at all,Very important,Never,Not at all,Often,Completely,Often,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Helpful staff and personalized advice.,Offer student and family bundles.,More Arabic/local niche brands.
16,Sharjah,31-35,Female,200-400 Dhs,Retired,Every 6 months,"A sudden increase in income (e.g., a raise, bonus, or new job)",Slightly important,Never,Extremely important,"Yes, sometimes",Slightly,Often,Not at all,Often,Completely,Sometimes,Slightly important,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Helpful staff and personalized advice.,Add WhatsApp virtual consultations.,Improve website speed and filters.
17,Ras Al-Khaimah,31-35,Female,Less than 200 Dhs,Banking and Finance,Yearly,"A sudden increase in income (e.g., a raise, bonus, or new job)",Not at all,Rarely,Completely,"No, not often",Very important,Moderately,Very important,Sometimes,Very important,Always,Extremely important,Rarely,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
18,Umm Al Quwain,21-25,Male,Less than 200 Dhs,Entrepreneur,Monthly,A decrease in disposable income,Neutral,Sometimes,Moderately,"No, not often",Moderately,Moderately,Neutral,Often,Neutral,Never,Moderately,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,2,Authentic brands and easy returns.,Travel-size discovery sets.,Longer return window for unopened items.
19,Sharjah,Under 21,Female,400–800 Dhs,Engineering,Yearly,"A change in employment status (e.g., from unemployed to employed)",Slightly important,Rarely,Very much,Neutral,Moderately,Always,Not important at all,Sometimes,Slightly important,Sometimes,Very much,Always,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,5,Convenient location and parking.,Add WhatsApp virtual consultations.,Improve website speed and filters.
20,Fujairah,21-25,Prefer not to say,200-400 Dhs,Unemployed,Weekly,A decrease in disposable income,Slightly,Always,Slightly important,"No, not often",Completely,Very much,Neutral,Often,Extremely important,Rarely,Moderately,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Exclusive releases and tester availability.,Travel-size discovery sets.,Price match guarantee would help.
